"Nome";"categoria";"descrizione";"Metodiche di lavorazione conservazione e stagionatura";"materiali e attrezzature per la preparazione";"Locali di lavorazione conservazione e stagionatura";"territorio interessato"
"PASTA DI OLIVE";"CONDIMENTI";"Patè cremoso di olive nere o verdi";"Ingredienti: olive nere o verdi denocciolate, olio extra vergine di oliva, sale. A) Lavorazione per invasettamento: Le olive vengono triturate mediante Cutter o tritatutto e ridotte in pasta; si aggiunge olio e sale e si mette il tutto in una bacina di cottura a circa 70/80°C senza portare ad ebollizione. Confezionamento: la pasta viene invasettata in vasi di vetro, chiuso e pastorizzato (olive verdi) o sterilizzato (olive nere). Conservazione: il prodotto invasettato, quindi sterilizzato o pastorizzato, ha durata di circa 1 anno B) Lavorazione per consumo immediato: Le olive vengono triturate mediante Cutter o tritatutto e ridotte in pasta; si aggiunge olio extra vergine di oliva e sale e si mette il tutto in un recipiente per alimenti. Conservazione: essendo un prodotto fresco va consumato entro 1 o 2 giorni al massimo.";"Bacine in acciaio; - Macchina per macinare (Cutter) o tritatutto; - Contenitori in vetro a chiusura ermetica (per prodotto invasettato)";"Pre-locale per lo sballaggio delle olive già denocciolate; - Laboratorio-cucina di gastronomia; - Fuochi (per prodotto invasettato) - Sala di sterilizzazione (per prodotto invasettato). - Locale per etichettatura; - Magazzino-deposito.";"Regione Umbria"
"PATE’ DI INTERIORA DI POLLO";"CONDIMENTI";"Patè cremoso per crostini.";"Ingredienti: fegatini, ventricoli e cuori di pollo, olio extra vergine di olive, salvia, capperi, acciughe, sale, pepe, succo di limone, bacche di ginepro. Lavorazione: le interiora di pollo vengono prima sbollentate in acqua salata per circa 5 minuti; dopo averli scolati vengono cotti a fuoco lento con tutti gli altri ingredienti, per circa 1 ora. Il tutto viene poi passato al tritacarne o macinato con il cutter fino a ridurlo in un patè cremoso. Conservazione: il prodotto va conservato in contenitori per alimenti e consumato in giornata";"Bacina e pentole in acciaio inox; - contenitori in plastica o acciaio per alimenti; - fuochi.";"Laboratorio-cucina di gastronomia; - bancone frigo per la vendita.";"Regione Umbria"
"PECORINO DI NORCIA";"FORMAGGI";"Formaggio da taglio prodotto con latte ovino, proveniente dai pascoli di alta montagna della zona. Il prodotto stagionato per circa 60 giorni viene considerato fresco; se la stagionatura si prolunga per 8-12 mesi si ottiene un prodotto da grattugiare. Le forme pesano generalmente 3 kg circa, ma il peso diminuisce con il prolungamento della stagionatura.";"Nella lavorazione tradizionale, il latte crudo viene filtrato e messo a scaldare sul caldaio a fuoco diretto finché raggiunge una temperatura di circa 90°C; quando si fredda (si sente con la mano), si aggiunge il caglio naturale proveniente dagli agnelli dall’allevamento dell’azienda stessa. Trascorsi circa 10 minuti si procede alla rottura della cagliata che viene poi prelevata e messa negli stampi o cerchi di legno (formatura). Le forme del peso di 3 kg circa, vengono lisciate a mano esercitando una certa pressione che permette la fuoriuscita del siero, ed in seguito si ricoprono di sale (salatura a secco). Dopo 2- 4 giorni, le forme si lavano e si dispongono su tavole di legno in celle frigorifere o locali freddi dove avviene la stagionatura (60 giorni-1 anno). Durante questo periodo il formaggio viene periodicamente lavato e girato.";"Pastorizzatore; - polivalente in acciaio inox; - stampi di legno o di plastica; - spino e mestoli di legno o acciaio inox; - carrelli e tavole su cui si dispongono le forme durante la stagionatura.";"Sala per la lavorazione del latte (laboratorio); - locale di salatura; - celle frigorifere ventilate; - locale di stagionatura; - locale di imballaggio e confezionamento.";"Comuni di: Norcia, Cascia, Sellano, Preci, Monteleone di Spoleto, Cerreto di Spoleto, Poggiodomo, Vallo di Nera, Sant’Anatolia di Nacco, Scheggino, Montefranco, Polino Arrone, Ferentillo."
"PERSICO REALE DEL TRASIMENO (Perca fluviatilis)";"PREPARAZIONI DI PESCI, MOLLUSCHI E CROSTACEI E TECNICHE PARTICOLARI DI ALLEVAMENTO DEGLI STESSI";"Corpo ovaliforme, compresso lateralmente, dorso arcuato, il margine superiore dell’opercolo termina a punta ed è munito di una robusta spina. Squame piccole e dentellate. Presenta dorso verdastro/bruno, fianchi verdastri/giallastri, ventre argenteo, strisce verticali scure sui fianchi. Dimensioni medie di 18-20 cm., lunghezza massima di 45 cm. Carni pregiate, gustose, delicate, sode e magre.";"Stagione adatta alla pesca: primavera. Tecniche di pesca: tofone con ali, fila (rete a forma di cono sostenuta da una serie di anelli in legno, in ferro o in plastica), tramaglio (formato da tre pezze di rete sovrapposte), canna fissa o con mulinello e galleggiante per la pesca al “tocco”. Esca utilizzata: gamberetto.";"E’ consuetudine mantenere esemplari vivi in vasche di vetroresina idonee all’uso.";"Locali, materiali ed attrezzature per la manipolazione e conservazione dell’alimento possiedono i requisiti previsti dalle seguenti norme: L. 283/62, DPR 327/80, D. Lgs 155/97. Il Persico reale viene venduto refrigerato intero e quasi mai lavorato..";"Lago Trasimeno"
"PICI";"PASTE FRESCHE E PRODOTTI DELLA PANETTERIA, BISCOTTERIA, PASTICCERIA, CONFETTERIA";"Grossi spaghetti fatti a mano con farina e acqua";"Lavorazione: gli ingredienti vengono lavorati a mano (o con impastatrice); una volta ottenuto un impasto omogeneo, viene tirata la sfoglia con il rasagnolo di legno su spianatoia di legno, dello spessore di circa 5/8 mm.; si tagliano in orizzontale delle strisce di pasta (larghe circa 10 cm.), a loro volta tagliate in piccole strisce (larghe circa 1 cm.), le quali vengono lavorate (arrotolate) a mano sulla spianatoia fino a formare dei grossi spaghetti lunghi circa 25/30 cm.. Conservazione: essendo un prodotto fresco, va conservato per 1/2 giorni al massimo, a temperatura di circa 4°C, su vassoi per alimenti.";"Impastatrice (se lavorato a macchina); - Spianatoia di legno (se lavorato a mano); - Rasagnolo di legno (se lavorato a mano";"Laboratorio per pasta fresca; - Bancone-frigorifero (a temperatura di 4°C).";"Comuni di: Castiglion del Lago, Panicale, Città di Castello"
"PINOCCATE";"PASTE FRESCHE E PRODOTTI DELLA PANETTERIA, BISCOTTERIA, PASTICCERIA, CONFETTERIA";"Dolcetti a forma di rombi di zucchero e pinoli (bianchi con la vaniglia o neri al cioccolato";"Ingredienti: zucchero, pinoli, buccia di limone (facoltativa), glucosio, farina, cacao o vaniglia. Lavorazione: lo zucchero viene bollito con il glucosio e un po’ d’acqua fino a raggiungere una temperatura di 113°C; si aggiungono i pinoli, la farina e il cacao o la vaniglia. L’impasto fluido e cremoso ottenuto viene steso su un piano di marmo, fatto raffreddare e tagliato mediante uno stampo in acciaio con la superficie intagliata a forma di rombi. Conservazione: il prodotto fresco va conservato in luogo fresco e asciutto per qualche giorno.";"Bacina in acciaio per la bollitura; - piano di marmo; - fuochi; - stampo in acciaio intagliato a rombi.";"Laboratorio da pasticceria con piano di marmo; - negozio di vendita con bancone espositore.";"Provincia di Perugia"
"PINOLATE";"PASTE FRESCHE E PRODOTTI DELLA PANETTERIA, BISCOTTERIA, PASTICCERIA, CONFETTERIA";"Pasticcini secchi alle mandorle e pinoli di forma rotonda.";"Ingredienti: fecola di patate, mandorle tritate, zucchero, albume d’uovo, pinoli. Lavorazione: gli ingredienti (eccetto i pinoli) vengono lavorati a mano in una bacina fino ad ottenere un composto morbido ed omogeneo. Si formano poi delle palline leggermente schiacciate che vengono sistemate su teglie da forno e ricoperte di pinoli. Le pinolate possono essere cotte nel forno ad una temperatura media oppure lasciate per circa un giorno nel laboratorio dove è situato il forno, ad una temperatura di circa 30°C, affinché non induriscano troppo. Conservazione: il prodotto fresco va conservato in luogo fresco e asciutto e consumato entro qualche giorno.";"Bacina in plastica per alimenti o acciaio inox; - teglie da forno; - forno.";"Laboratorio di pasticceria; - negozio di vendita con bancone espositore.";"Regione Umbria"
"PORCHETTA";"CARNI (E FRATTAGLIE) FRESCHE E LORO PREPARAZIONE";"Suino cotto intero, compresa la testa, disossato, condito, con crosta dorata, legato con spago.";"A partire dal suino macellato, disossatura per ottenere il suino disossato (resa circa 80%) e impalatura; 2. conditura con sale, pepe, finocchio selvatico, aglio e rosmarini; 3. legatura con spago; 4. cottura in forno a 220°C; 5. refrigerazione con abbattimento rapido fino a 10°C.";"Cella frigorifera per stoccaggio suini macellati; - coltelli per la disossatura; - spaghi in lino o canapa; - tavoli in acciaio inox e palo in acciaio inox; - cella frigorifera per gli scarti della disossatura; - forno elettrico (anche a gas o a legna); - griglia per le mezze porchette; - vasca acciaio inox per raccogliere l’unto; - cella frigorifera per abbattimento rapido; - cella frigorifera di mantenimento.";"Locali pavimentati con superfici lavabili anche alle pareti con aria condizionata (ad eccezione della zona cottura) con celle frigorifere";"Regione Umbria"
"PROSCIUTTO NOSTRANO";"CARNI (E FRATTAGLIE) FRESCHE E LORO PREPARAZIONE";"Coscio di suino stagionato, dalla caratteristica forma a pera, ricoperto di pepe dove non è protetto dalla cotenna";"1. Sezionatura: la parte di suino interessata è il coscio, di dimensioni più lunghe rispetto a quello di Parma, perché il taglio arriva fino alla sesta costa; 2. sagomatura, poi viene eliminata la cotenna dalla parte interna del coscio; 3. salagione: si ricopre con un preparato, composto da sale, pepe, aglio e si lascia riposare per 25 gg.; 4. lavaggio, avviene con acqua calda e con vino; 5. asciugatura, viene aromatizzato con pepe e aglio e lasciato ad asciugare per 30-35 gg.; 6. stuccatura con composto di grasso di maiale (strutto), aglio e pepe, sale e farina; 7. stagionatura in ambiente naturale per circa due anni.";"Coltelli di vario tipo, cella frigorifero";"1. Sala di sezionamento, dove il suino viene tagliato nelle varie parti e preparato per l'uso; 2. sala lavorazione: dove avviene la sagomatura, la salagione e il lavaggio; 3. sala di asciugamento e/o stagionatura: la prima è a temperatura controllata, la seconda a temperatura naturale.";"Regione Umbria"
"RAVIGGIOLO";"FORMAGGI";"Formaggio freschissimo prodotto con latte intero vaccino, a pasta molle, cremoso, ricco di fermenti; sapore dolce e colore bianco latte.";"Dopo la pastorizzazione a 72°C il latte passa nella polivalente e quando si trova ad una temperatura di circa 36°C si aggiungono i fermenti ed il caglio. Dopo la rottura della cagliata, si elimina il siero attraverso una leggera stufatura. Si sala lievemente, e si raccoglie il prodotto in formine da 250 grammi circa, che gli conferiscono una caratteristica forma a canestrello. Il formaggio viene subito messo in vendita e deve essere mantenuto alla temperatura di 4°C. La freschezza del prodotto limita la conservabilità a 7-10 giorni.";"Pastorizzatore; - polivalente in acciaio inox; - cassoni e condotte di vapore per la stufatura; - cestini o fuscelle che conferiscono la tipica forma di un cestino di vimini;";"Sala per la lavorazione del latte (laboratorio); - celle frigorifere.";"Regione Umbria"
"RICOTTA SALATA";"FORMAGGI";"Ricotta prodotta con latte ovino, salata e stagionata per 10-20 giorni per avere un prodotto da taglio; se la stagionatura si prolunga per 4-6 mesi si ottiene un prodotto da grattugiare. La forma è tronco-conica ed il peso medio è compreso generalmente tra 0,5-1 kg.";"Nella lavorazione tradizionale, il siero residuo della lavorazione del formaggio viene rimesso sul fuoco (da questo deriva il termine “ricotta”), e fatto bollire. Si ha un primo affioramento di prodotto che viene usato per la produzione della ricotta fresca; l’altra parte continua a scaldarsi e raggiunge temperature superiori a 90°C. In seguito all’affioramento si preleva con un mestolo forato e si versa nelle sacchette di cotone a forma triangolare tipo imbuto. Si lasciano sgocciolare poi si strizzano per eliminare l’acqua residua: il giorno dopo si tolgono dai sacchetti, si passano nel sale, e si dispongono sulle tavole all’interno delle celle frigorifere o in locali freschi per la stagionatura. Prima della vendita si ricoprono di crusca o semola di grano che assorbe l’umidità e mantiene il prodotto integro.";"Pastorizzatore; - polivalente in acciaio inox; - caldaio di rame; - mestoli di legno o acciaio inox, cucchiai di rame forati; - sacchette di cotone a forma triangolare; - carrelli e tavole su cui si dispongono le forme durante la stagionatura";"Sala per la lavorazione del latte (laboratorio), facilmente lavabile - locale di salatura; - celle frigorifere ventilate o locali freschi tipo cantine; - locale di stagionatura; - locale di imballaggio e confezionamento.";"Comuni di: Norcia, Cascia, Sellano, Preci, Monteleone di Spoleto, Cerreto di Spoleto, Poggiodomo, Vallo di Nera, Sant’Anatolia di Nacco, Scheggino, Montefranco, Polino, Ferentillo, Arrone."
"ROCCIATA";"PASTE FRESCHE E PRODOTTI DELLA PANETTERIA, BISCOTTERIA, PASTICCERIA, CONFETTERIA";"Dolce di pasta sfoglia ripiena, arrotolato a forma di serpente";"Ingredienti per la sfoglia: farina, sale, acqua, uova. Per il ripieno: mele, fichi, marmellata, noci, uva sultanina, pinoli, mandorle, cacao (facoltativo), cannella, limone, vaniglia. Lavorazione: gli ingredienti per la sfoglia si impastano in una macchina impastatrice o a mano: si stende poi la sfoglia, o a mano o con macchina sfogliatrice. All’interno di essa vengono poi posti gli ingredienti del ripieno, si arrotola la sfoglia dando la forma a spirale, tipo un serpentone e si cuoce in forno. Conservazione: il prodotto fresco va conservato ad una temperatura di circa 6°/8° C per 2/3 giorni al massimo.";"Macchina impastatrice; - macchina sfogliatrice; - piani in acciaio inox; - forno.";"Laboratorio di pasticceria; - negozio di vendita con bancone espositore.";"Comuni di: Assisi, Bastia Umbra, Foligno, Spello, Bettona, Cannara, Bevagna."
"SALAME DI NORCIA";"CARNI (E FRATTAGLIE) FRESCHE E LORO PREPARAZIONE";"Salume di forma cilindrica di medie dimensioni, il peso varia dai 300 ai 500g., risulta macinato a grana finissima.";"1. Sezionatura: si mischia carne di suino per tre parti magra di prima scelta (spalla, rifilature del prosciutto) finemente macinata e una parte di lardo duro tagliato a dadini; 2. macinazione, all'impasto si aggiunge pepe intero e spezzettato, sale e aglio; 3. insaccatura nel budello naturale del suino; 4. maturazione, per alcuni giorni si lascia in ambiente aerato e riscaldato con stufa a legna; 5. stagionatura per un periodo che va dai 3 ai 5 mesi.";"Coltelli di vario tipo, tritacarne, insaccatrice, taglia lardelli, impastatrice, cella frigorifero";"1. Sala di sezionamento,dove il suino viene tagliato nelle varie parti e preparato per l'uso; 2. sala lavorazione: dove si tritura la carne, si impasta e si insacca; 3. sala di asciugamento e/o stagionatura: la prima è a temperatura controllata, la seconda a temperatura naturale";"Regione Umbria"
"SALSICCE";"CARNI (E FRATTAGLIE) FRESCHE E LORO PREPARAZIONE";"Salume di forma cilindrica, insaccato e legato di piccole dimensioni, quelle fresche pesano circa 80 g. mentre quelle secche 40-50 g.";"1. sezionatura: la parte di suino interessata è la rifilatura magra della lavorazione del maiale: polpa di spalla, prosciutto, pancia; 2. macinazione: l'impasto ottenuto viene condito con sale, pepe e vino rosso; 3. insaccatura. Salsicce secche: 4. la fase ulteriore di lavorazione consiste nella stagionatura per venti giorni";"Coltelli di vario tipo, tritacarne, insaccatrice, impastatrice, cella frigorifero";"1. Sala di sezionamento,dove il suino viene tagliato nelle varie parti e preparato per l'uso; 2. sala lavorazione: dove si tritura la carne, si impasta e si insacca; 3. sala di asciugamento e/o stagionatura: la prima è a temperatura controllata, la seconda a temperatura naturale.";"Regione Umbria"
"SANGUINACCIO";"CARNI (E FRATTAGLIE) FRESCHE E LORO PREPARAZIONE";"Salume di forma cilindrica, una volta tagliato si presenta di colore rosso scuro dove spicca il colore chiaro degli ingredienti, il peso varia dai 500 agli 800 g.";"1. Si ricava il sangue dal suino macellato, si aggiunge il sale e si mescola per evitare che coaguli; 2. si taglia a dadini il grasso di maiale e delle fette di pane , poi si versa il tutto nel sangue; 3. mescolando in continuazione si aggiungono: zucchero, cacao, pinoli, canditi, uvetta, mosto cotto, buccia d’arancia e di limone, cannella, vaniglia, miele, sale e pepe; 4. l’impasto così ottenuto viene tenuto a riposo per un giorno intero; 5. viene poi insaccato nel budello gentile del suino e legato; 6. immerso in una pentola e fatto bollire fino a quando l’insaccato non risale in superficie; 7. una volta tolto dalla pentola può essere consumato freddo, o tagliato a fette e ripassato in padella.";"Coltelli di vario tipo, macinatrice, insaccatrice, pentole.";"Sala lavorazione, sala cottura";"Regione Umbria"
"SCHIACCIATA AL FORMAGGIO";"PASTE FRESCHE E PRODOTTI DELLA PANETTERIA, BISCOTTERIA, PASTICCERIA, CONFETTERIA";"Focaccia bassa di forma ovale, quadrata o rettangolare.";"Ingredienti: farina di grano tenero, uova, formaggio pecorino, pecorino romano, grana padano o parmigiano reggiano, olio extra vergine di oliva, sale, lievito naturale (mantenuto in frigo a temperatura di 10°C). Lavorazione: gli ingredienti vengono lavorati a mano o nell’impastatrice. Il composto ottenuto viene steso a mano fino a formare delle focacce basse di forma ovale (o quadrata o rettangolare) sistemate su teglie da forno, unte o ricoperte di carta da forno. Vengono fatte lievitare per circa 1 ora e poi cotte in forno a circa 200°C. Conservazione: il prodotto fresco va conservato ad una temperatura di 6°/8° C e consumato entro 2/3 giorni.";"Impastatrice; - teglie da forno; - forno.";"Laboratorio di panetteria; - negozio di vendita con bancone espositore.";"Regione Umbria"
"SEDANO NERO DI TREVI . (Apium graveolens).";"PRODOTTI VEGETALI ALLO STATO NATURALE O TRASFORMATI";"Steli (coste) eziolati. Profumo intenso";"Semina in semenzaio in Aprile, trapianto in pieno campo nei mesi di Maggio e Giugno. Cure colturali, sarchiature manuali ed irrigazioni periodiche. Interramento e incartatura del prodotto, con polietilene nero dalla seconda decade di Settembre . Raccolta da metà Ottobre sino a Dicembre inoltrato. Seguono le fasi di pulitura e lavaggio. La vendita avviene di norma direttamente “dal campo al mercato”.";"Tradizionali macchine agricole (trattore, estirpatore, livellatore, zappatrice ecc.).";"Campo aperto e ambienti chiusi e freschi per la pulitura ed incassatura.";"Comune di Trevi"
"STINCHETTI";"PASTE FRESCHE E PRODOTTI DELLA PANETTERIA, BISCOTTERIA, PASTICCERIA, CONFETTERIA";"Dolcetto secco a forma di tibia (osso di stinco";"Ingredienti: parte esterna (pasta reale): zucchero, albume d’uovo, colla di pesce; parte interna: mandorle (dolci e amare), zucchero o miele, cacao, cannella, vaniglia, scorza grattugiata di limone, albume d’uovo, ostie. Lavorazione: si montano gli albumi con lo zucchero e la colla di pesce come per una glassa; si impasta sul piano di marmo fino ad ottenere una pasta consistente ed omogenea. Intanto vengono tostate le mandorle, tritate finemente, si uniscono lo zucchero, il cacao, il pizzico di cannella, la scorza grattugiata del limone e la vaniglia e si impasta il tutto con l’albume d’uovo. Si saranno ottenuti così due impasti: l’uno bianco, l’altro nero, dai quali vengono prese, per ogni stinchetto, due palline di grandezza diversa, più grande la bianca con la quale si otterrà un disco di 5-6 cm di diametro al centro del quale si porrà una pallina nera delle dimensioni di una noce. Queste due palline vengono arrotolate con le mani in modo che combacino, il tutto viene esteso per ottenere un cilindro di circa 10 cm. di lunghezza, si schiacciano le estremità per dare la forma di una tibia (ossi di stinco). Si fanno asciugare su teglie ricoperte di ostie per un giorno. Una volta asciugati, gli stinchetti si cuociono in forno a temperatura media per circa 15-20 minuti. Conservazione: il prodotto non si mantiene a lungo; va conservato in luogo fresco e asciutto per 2-3 giorni al massimo.";"Piano di marmo; - teglie da forno: - forno.";"Laboratorio di pasticceria; - negozio di vendita con bancone espositore.";"Comune di Perugia"
"STRANGOZZI";"PASTE FRESCHE E PRODOTTI DELLA PANETTERIA, BISCOTTERIA, PASTICCERIA, CONFETTERIA";"Pasta lunga a sezione quadrata o rettangolare";"Ingredienti: farina di grano tenero, acqua. Variante: farina di grano tenero (2/3), semola di grano duro (1/3), acqua. Lavorazione a mano: gli ingredienti vengono lavorati a mano su spianatoia di legno; una volta ottenuto un impasto omogeneo, con il rasagnolo viene tirata la sfoglia dello spessore di circa 2 mm.; la sfoglia ottenuta viene tagliata a strisce larghe circa 3-4 mm. e lunghe circa 20/30 cm. al massimo. Lavorazione a macchina: gli ingredienti vengono lavorati nell’impastatrice, dalla quale viene estrusa una sfoglia dello spessore di circa 3 mm.. La sfoglia ottenuta viene poi resa omogenea da un rullo compressore e passata sulla taglierina, dove viene tagliata in strisce larghe circa 3-4 mm. e lunghe circa 20/30 cm. al massimo. Conservazione: il prodotto fresco va conservato al massimo 2/3 giorni a temperatura di circa 4°C, su vassoi di plastica per alimenti.";"Prodotto fresco: Lavorazione a mano: - Spianatoia di legno; - rasagnolo di legno. Lavorazione a macchina: - Impastatrice;   - taglierina";"Laboratorio per pasta fresca; - bancone-frigorifero (a temperatura di 4°C).";"Comune di Foligno, Comune di Spoleto"
"STRUFOLI";"PASTE FRESCHE E PRODOTTI DELLA PANETTERIA, BISCOTTERIA, PASTICCERIA, CONFETTERIA";"Dolci fritti rotondi o allungati imbevuti di alchermes o cosparsi di miele o zucchero";"Ingredienti: farina di grano, uova, mistrà, rhum, buccia di limone grattugiato, olio di semi o d’oliva, un pizzico di lievito chimico, aroma di vaniglia (facoltativo), strutto di suino per la frittura. Lavorazione: gli ingredienti vengono lavorati a mano fino ad ottenere un composto fluido e cremoso, che viene fritto a cucchiaiate nello strutto bollente. Infine, gli strufoli vengono scolati su carta assorbente e cosparsi di alchermes, miele o zucchero a piacere. Conservazione: il prodotto va conservato in luogo fresco e asciutto e consumato entro 1 o 2 giorni.";"Contenitori in acciaio; - friggitrice o padella per friggere; - fuochi ; - contenitori per alimenti.";"Laboratorio di pasticceria, con spazio adibito alla frittura; - negozio di vendita con bancone espositore.";"Regione Umbria"
"ZAFFERANO DI CASCIA";"PRODOTTI VEGETALI ALLO STATO NATURALE O TRASFORMATI";"Stimma trifido essiccato del fiore di Crocus sativus L.";"1. Preparazione del terreno (in primavera). Precede l’aratura in profondità del terreno (30 cm) durante la primavera dell’anno in cui si intende impiantare lo zafferaneto. Si può concimare interrando letame ovino o bovino, ben maturo, nella misura di circa 250-300 q/ha. Non si utilizzano concimi di sintesi. 2. Piantagione dei bulbo-tuberi (intorno alla metà di agosto). Occorrono 1,1-1,3 Kg7m di bulbotuberi selezionati e poiché essi pesano circa 20 g/cadauno ne occorrono 45-65 mq. Quindi per 100 mq ne sono necessari 4.500-6.500, pari a 90-130 Kg. Si preparano delle file di solchetti profondi circa 15 cm dove si piantano i bulbo-tuberi distanti tra di loro non più di 2/3 cm e si ricoprono delicatamente con la terra. Ogni tre file di bulbo-tuberi si lascia una “corsia” che serve per evitare dannosi ristagni di acqua e per facilitare le successive operazioni colturali. Successivamente si pareggiano con un rastrello i cigli dei solchetti dove sono i bulbo-tuberi e si approfondiscono le “corsie”. 3. Fioritura e raccolta dei fiori (ottobre). A partire dalla prima decade di ottobre si effettua la raccolta dei fiori che si protrae per circa 3 settimane. E’ importante sottolineare che la maggior quantità di fiori (circa il 70%) si ottiene in 7-10 giorni. La raccolta viene effettuata manualmente durante le prime ore del mattino, prima che il fiore si apra, poiché i raggi solari alterano i principi attivi presenti negli stimmi, che in questo caso sono anche più difficilmente separabili dal fiore.4. Sfioritura. Consiste nella separazione degli stimmi dal fiore ed è una operazione molto laboriosa che richiede una certa esperienza e va completata nello stesso giorno della raccolta. 5. Tostatura. Secondo l’antica tradizione gli stimmi vengono appoggiati sulla superficie di un setaccio posto a debita distanza dalla brace coperta con la cenere, che fornisce il calore (a non più di 40-45° C) necessario per la tostatura. Dopo 10-15 minuti gli stimmi sono tostati e pronti per l’utilizzo. 6. Conservazione della spezia. La conservazione della spezia è molto delicata e sono necessari vasi di vetro scuro e sacchetti di tela posti in luoghi asciutti, poiché lo zafferano è leggermente igroscopico. 7. Raccolta e “mondatura” dei bulbo-tuberi. Dopo aver ottenuto la spezia le piante rimaste in campo continuano a vegetare. Facendo attenzione al controllo delle erbe infestanti durante la primavera, si attende il successivo mese di agosto quando i bulbo-tuberi figli sono ben differenziati per ripetere le operazioni colturali. La raccolta è molto delicata e generalmente si effettua con l’ausilio della zappa e di un piccone che vengono utilizzati con esperta manualità e pazienza, per favorire la fuoriuscita dal terreno dei bulbo-tuberi da raccogliere senza rovinarli. Si effettua poi la cernita del materiale, separando quello idoneo da quello di piccole dimensioni (diametro inferiore a 2,5 cm). Durante la mondatura si rimuovono le tuniche più esterne e si elimina con cura il materiale difettoso, specie se si notano sintomi di qualche malattia parassitaria, poiché il materiale per la piantagione dello zafferano deve essere assolutamente privo di patogeni. I bulbo-tuberi così selezionati sono pronti per essere piantati.";"La preparazione del terreno viene effettuata utilizzando le tradizionali macchine agricole. Tutte le altre operazioni in campo vengono effettuate manualmente (posa in opera dei bulbo-tuberi, raccolta dei fiori, sfioritura per la separazione degli stimmi). La raccolta dei bulbo-tuberi a fine ciclo può essere effettuata con una cavapatate opportunamente modificata. Per il condizionamento (tostatura) si utilizza un semplice setaccio per farina.";"La conservazione avviene in vasi di vetro o in sacchetti di tela; si deve evitare l’esposizione alla luce e l’ambiente deve essere asciutto.";"Assisi (parte), Gualdo Tadino, Nocera Umbra, Valtopina, Spello (parte), Foligno (parte), Trevi (parte), Sellano, Campello sul Clitunno (parte), Spoleto (parte), Scheggino, Vallo di Nera, Cerreto di Spoleto, Poggiodomo, Monteleone di Spoleto, Cascia, Norcia, Preci (i territori dei comuni interessati in parte dalla coltivazione dello zafferano sono quelli a nord-est della strada statale n. 75 Centrale Umbra – Assisis, Spell, Foligno – e ad est della strada statale n. 3 Flaminia – Foligno, Trevi, Campello sul Clitunno, Spoleto)."
"ZAFFERANO DI CITTA' DELLA PIEVE";"PRODOTTI VEGETALI ALLO STATO NATURALE O TRASFORMATI";"Il prodotto è costituito dagli stimmi trifidi dello stima del fiore di Crocus sativusL. Appartenente alla famiglia delle iridacee.";"Preparazione del terreno con aratura ad una profondità di 30 cm, concimazione con impiego di fertilizzanti non contenenti sostanze chimiche di sintesi. Piantagione dei bulbi tuberi nel mese di luglio ed agosto, i bulbi devono essere espiantati e messi a dimora nel nuovo impianto da realizzare in un altro appezzamento. Impianto su file distanti dai 20 ai 40 cm. Raccolta manuale dei fiori nelle prime ore del mattino. Nella stessa giornata deve essere fatta la separazione degli stimmi dei fiori. Gli stimmi posti su un setaccio vengono essiccati ad una temperatura compresa tra 40° e 45° centigradi fino al momento in cui il filamento si sbriciola sotto la pressione delle dita. La fonte di calore per l'essiccazione è la brace o in alternativa un forno elettrico ventilato";"Confezionamento in contenitori di vetro con chiusura ermetica, al riparo da luce, umidità e ad una temperatura di 12° - 18° . Il prodotto è confezionato nel rispetto del manuale di corretta prassi igienica in applicazione del D.lgs n. 155/1997";"Attualmente i processi di lavorazione sono effettuati in un laboratorio autorizzato situato in Città di Castello (PG)";"Città della Pieve, Paciano, Piegaro, Monteleone d'Orvieto, Montegabbione, Fabro, Parrano, San Venanzo, Ficulle, Allerona e in parte Castiglione del Lago, Magione, Perugia, Marsciano e Corciano."
